Symbol,Side,Type,Qty,Limit Price,Stop Price,Fill Price,Status,Commission,Placing Time,Closing Time,Order ID,Level ID,Leverage,Margin
B2PRIME:SPXUSD,Sell,Market,700,,,6859.7,Filled,2.5,2026-02-24 15:44:58,2026-02-24 15:44:58,2792363062,,50:1,"96,035.80 USD"
B2PRIME:SPXUSD,Sell,Take Profit,700,6860.04,,,Cancelled,,2026-02-24 15:44:41,2026-02-24 15:44:58,2792360119,,,
B2PRIME:SPXUSD,Buy,Market,700,,,6855.3,Filled,2.5,2026-02-24 15:44:41,2026-02-24 15:44:41,2792360118,,50:1,"95,974.20 USD"
CME_MINI:ES1!,Buy,Limit,1,6832.5,,6832.5,Filled,,2026-02-24 15:36:00,2026-02-24 15:36:21,2792255442,,20:1,"17,081.25 USD"
CME_MINI:ES1!,Sell,Stop,1,,6843.75,6834.5,Filled,,2026-02-24 15:34:42,2026-02-24 15:34:42,2792242546,,20:1,"17,109.38 USD"
CME_MINI:ES1!,Buy,Limit,1,6840,,6839.75,Filled,,2026-02-24 15:33:46,2026-02-24 15:33:47,2792233004,,20:1,"17,100.00 USD"
CME_MINI:ES1!,Buy,Limit,2,6842,,6840,Filled,,2026-02-24 15:32:41,2026-02-24 15:32:41,2792221174,,20:1,"34,210.00 USD"
CME_MINI:ES1!,Buy,Limit,2,6842,,6837.25,Filled,,2026-02-24 15:32:03,2026-02-24 15:32:04,2792214385,,20:1,"34,210.00 USD"
CME_MINI:ES1!,Sell,Stop,5,,6848.5,6847.5,Filled,,2026-02-24 15:29:32,2026-02-24 15:29:32,2792190812,,20:1,"85,606.25 USD"
